Railroad,Code,Station Name,Branch,Latitude,Longitude,Outbound Title,Inbound Title,Zone,Station URL,Parking Map URL,Accessibility,Georeference
LIRR,ODE,Oceanside,Long Beach,40.63476614,-73.65465475,To Long Beach,To Jamaica & New York,7,https://new.mta.info/stations/oceanside,https://new.mta.info/document/117351,FULL,POINT (-73.65465475 40.63476614)
LIRR,WMR,Woodmere,Far Rockaway,40.631336,-73.71370203,To Far Rockaway,To Jamaica & New York,4,https://new.mta.info/stations/woodmere,https://new.mta.info/document/116121,FULL,POINT (-73.71370203 40.631336)
LIRR,CPG,Copiague,Babylon,40.68106307,-73.39834275,To Babylon & Points East,To Jamaica & New York,9,https://new.mta.info/stations/copiague,https://new.mta.info/document/113696,FULL,POINT (-73.39834275 40.68106307)
LIRR,SHD,Southold,Greenport,41.06631707,-72.42784279,To Greenport,To Jamaica & New York,14,https://new.mta.info/stations/southold,https://new.mta.info/document/115836,FULL,POINT (-72.42784279 41.06631707)
LIRR,SYT,Syosset,Port Jefferson,40.82482831,-73.50054735,To Huntington & Port Jefferson,To Jamaica & New York,7,https://new.mta.info/stations/syosset,https://new.mta.info/document/116086,FULL,POINT (-73.50054735 40.82482831)
LIRR,NYK,Penn Station,City Terminal Zone,40.75032688,-73.99296028,Departures,Arrivals,1,https://new.mta.info/stations/penn-station,,FULL,POINT (-73.99296028 40.75032688)
LIRR,DGL,Douglaston,Port Washington,40.76812045,-73.7493319,To Great Neck & Port Washington,To New York,3,https://new.mta.info/stations/douglaston,https://new.mta.info/document/113711,PARTIAL,POINT (-73.7493319 40.76812045)
LIRR,WDD,Woodside,City Terminal Zone,40.74582241,-73.90300318,To Points East,To New York,1,https://new.mta.info/stations/woodside,,FULL,POINT (-73.90300318 40.74582241)
LIRR,LNK,Little Neck,Port Washington,40.77509929,-73.74056395,To Great Neck & Port Washington,To New York,3,https://new.mta.info/stations/little-neck,https://new.mta.info/document/114196,FULL,POINT (-73.74056395 40.77509929)
LIRR,QVG,Queens Village,Hempstead,40.71752423,-73.73621938,To Hempstead,To Jamaica & New York,3,https://new.mta.info/stations/queens-village,https://new.mta.info/document/117401,FULL,POINT (-73.73621938 40.71752423)
